Household	Health	OwnHome	Instagram	Marital	Sex	Age	Children	Education	JobSat	Income	WorkHrs	Happy
"117"	3	2	0	2	1	2	75	3	19	0	0	-1	1
"118"	2	0	1	2	1	2	59	0	19	0	164382.03756	-1	1
"119"	2	2	0	2	1	1	81	2	13	0	0	-1	1
"120"	2	0	1	2	1	2	69	3	12	0	0	-1	2
"123"	1	1	0	2	5	2	33	1	16	3	0	25	2
"124"	3	3	1	0	3	1	56	2	12	0	56160	-1	2
"125"	2	0	1	2	1	1	71	2	16	0	0	-1	2
"126"	3	0	1	0	5	1	21	0	15	0	0	-1	1
"127"	2	1	1	0	1	2	49	3	12	0	46800	-1	1
"128"	2	2	0	1	5	1	26	0	16	2	38610	50	1
"130"	2	2	1	0	1	1	36	0	20	0	31590	-1	2
"131"	1	0	1	0	2	1	68	0	12	0	0	-1	2
"133"	1	2	0	2	5	2	60	1	14	0	2106	-1	2
"134"	1	4	2	0	5	1	48	0	12	0	25740	-1	1
"135"	3	4	0	2	1	2	47	3	12	4	21060	40	3
"136"	1	2	2	0	5	2	36	0	14	0	0	-1	2
"137"	1	0	1	0	2	2	89	2	12	0	0	-1	2
"138"	2	3	0	1	4	2	64	2	12	0	936	-1	3
"139"	2	1	2	0	5	2	38	0	16	0	31590	-1	1
"140"	1	2	0	0	2	1	62	1	12	0	0	-1	2
"144"	1	2	0	2	3	2	47	1	16	0	0	-1	2
"145"	1	0	1	2	3	1	62	0	14	3	31590	-1	2
"149"	1	0	2	2	3	2	57	1	12	0	31590	-1	2
"150"	2	2	1	0	5	1	30	0	16	0	17550	-1	2
"151"	2	1	0	2	1	1	39	0	18	2	21060	60	2
"152"	1	0	2	1	5	2	37	0	15	0	15210	-1	1
"153"	2	2	0	2	1	2	52	0	12	0	0	999	1
"154"	1	3	2	0	5	2	61	0	18	0	8775	-1	3
"155"	3	2	0	2	1	1	58	1	12	3	25740	40	2
"156"	2	1	2	0	5	1	31	0	14	0	0	-1	1
"157"	2	2	0	2	1	2	52	2	16	3	11115	30	2
"159"	5	0	1	2	1	2	25	1	13	3	21060	-1	2
"160"	3	1	2	0	2	1	54	4	12	0	31590	-1	1
"161"	2	0	1	1	3	2	33	1	15	0	25740	-1	1
"162"	2	2	1	0	1	1	33	1	18	0	0	-1	1
"163"	1	3	0	0	3	2	61	2	12	5	6435	999	3
"164"	3	3	0	0	2	2	65	4	99	0	0	-1	2
"165"	3	0	1	0	5	2	53	0	12	0	0	-1	3
"166"	3	4	2	0	2	2	66	8	11	0	0	-1	3
"167"	1	4	0	2	5	2	41	2	12	0	0	45	3
"168"	2	0	2	1	3	2	57	2	13	0	936	-1	2
"169"	1	1	0	2	5	1	50	0	12	1	38610	50	2
"170"	2	2	0	0	1	1	75	4	14	0	0	-1	3
"171"	2	0	2	1	5	2	22	3	11	5	0	-1	3
"172"	2	3	0	1	5	1	27	0	14	1	8775	45	2
"173"	1	0	2	2	4	2	20	1	12	0	0	-1	2
"175"	2	0	2	1	5	2	49	1	14	5	0	-1	3
"176"	1	2	2	0	3	2	51	1	14	0	31590	-1	2
"177"	3	1	2	0	4	1	56	5	16	0	38610	-1	1
"178"	2	3	0	2	1	2	41	1	18	0	0	-1	2
"179"	1	2	0	2	3	1	67	4	14	2	21060	24	2
"180"	1	3	2	0	5	2	38	4	12	0	2574	-1	2
"181"	1	3	0	2	2	2	76	1	16	0	17550	-1	3
"182"	1	4	2	0	3	1	66	1	14	0	0	-1	3
"183"	1	3	0	0	5	2	84	0	17	0	0	-1	2
"185"	1	2	0	2	5	1	46	2	16	3	2106	40	2
"186"	3	0	2	1	5	1	25	0	13	0	0	-1	1
"187"	2	1	0	2	1	1	67	1	18	0	0	-1	2
"188"	2	2	2	0	1	1	34	2	12	0	21060	-1	2
"189"	2	3	2	0	1	2	29	3	8	0	0	-1	3
"191"	5	2	0	1	5	2	39	1	14	0	7605	-1	2
"192"	1	0	2	0	5	2	39	2	9	0	8775	-1	2
"195"	2	2	2	0	5	1	32	4	9	0	8775	-1	2
