Household	Health	OwnHome	Instagram	Marital	Sex	Age	Children	Education	JobSat	Income	WorkHrs	Happy
"540"	1	0	1	2	5	1	28	0	11	0	12870	-1	2
"542"	3	2	0	1	1	2	58	2	18	3	0	42	2
"545"	2	2	0	2	5	2	27	0	20	5	0	35	3
"546"	1	0	1	0	2	2	57	2	16	0	0	-1	2
"547"	1	3	0	1	5	2	32	3	13	1	21060	40	2
"548"	4	1	1	0	5	1	24	0	12	0	0	-1	2
"549"	1	0	2	0	4	2	81	2	6	0	0	-1	3
"550"	4	1	0	1	5	2	19	0	12	1	0	30	3
"551"	6	0	2	1	3	2	44	3	12	3	12870	-1	3
"552"	3	2	0	2	5	1	41	2	7	0	0	-1	3
"553"	2	0	2	0	1	1	67	2	12	0	0	-1	3
"555"	1	2	0	2	5	1	33	0	16	3	65520	40	2
"556"	2	3	3	0	1	1	48	1	10	0	31590	-1	2
"557"	1	2	2	0	4	2	47	1	12	0	0	-1	2
"558"	1	2	1	0	2	2	72	2	15	0	0	-1	3
"559"	2	1	0	2	1	2	60	0	19	2	31590	30	2
"560"	1	0	2	0	2	2	89	2	8	0	0	-1	2
"561"	3	2	0	0	1	2	45	4	6	0	0	-1	2
"562"	1	3	0	0	2	2	70	2	20	0	0	-1	3
"563"	2	1	1	0	1	2	79	4	12	0	0	-1	1
"564"	2	2	0	0	5	2	37	4	14	6	17550	999	3
"566"	3	3	1	0	1	2	57	6	12	0	0	-1	2
"567"	2	1	0	0	4	2	55	2	15	2	15210	40	1
"568"	3	2	2	0	3	1	28	1	14	0	9945	-1	1
"569"	1	0	1	2	3	1	58	0	13	3	31590	-1	2
"570"	3	3	0	2	1	2	64	4	9	3	5265	30	2
"571"	3	0	1	2	3	1	32	0	16	5	7605	-1	3
"572"	3	2	1	0	1	1	63	1	16	0	12870	-1	1
"573"	3	2	1	0	3	2	47	2	16	0	25740	-1	2
"575"	2	3	0	1	4	1	38	2	14	3	0	-1	3
"576"	2	0	1	2	1	2	63	2	16	0	0	-1	2
"578"	2	4	0	0	2	2	74	3	12	0	0	-1	3
"579"	1	0	2	0	2	2	66	6	12	0	0	-1	1
"580"	1	1	2	0	3	1	34	2	16	0	25740	-1	1
"581"	3	3	0	0	1	1	42	0	12	1	12870	23	2
"583"	2	1	2	0	2	2	46	3	12	0	15210	-1	2
"584"	2	2	0	0	3	1	51	6	14	0	0	-1	3
"585"	4	0	1	2	5	2	20	0	12	0	0	-1	2
"586"	2	3	0	0	5	2	54	0	7	0	2574	-1	2
"587"	1	0	2	0	5	1	55	1	12	0	0	-1	2
"588"	2	0	2	0	5	1	58	2	14	0	12870	-1	3
"589"	3	3	1	0	1	1	53	0	12	0	0	-1	3
"590"	1	1	1	0	3	1	36	1	17	0	46800	-1	2
"591"	1	3	1	0	2	1	76	3	15	0	0	-1	1
"592"	2	2	0	1	1	2	33	3	14	4	7605	20	2
"593"	1	2	1	0	3	2	69	3	20	0	0	-1	2
"594"	2	3	2	0	5	1	32	0	13	0	56160	-1	1
"595"	4	3	0	1	1	2	48	2	13	0	0	-1	2
"596"	1	1	0	1	2	2	72	4	20	0	0	-1	2
"597"	1	0	1	2	2	2	66	1	14	0	0	-1	1
"598"	1	2	1	0	2	2	85	1	12	0	0	-1	2
"599"	1	1	1	0	3	2	68	2	13	0	25740	-1	1
"600"	5	0	1	0	1	1	53	2	20	3	74880	-1	2
"601"	1	2	0	0	2	2	75	3	14	0	0	-1	2
"603"	2	2	1	0	1	1	52	3	12	0	65520	-1	2
"604"	1	2	0	0	2	2	80	4	12	0	0	-1	3
"605"	2	2	0	0	1	1	67	2	13	0	0	-1	1
"606"	3	0	1	2	5	2	21	1	13	0	2574	-1	1
"607"	1	2	2	0	5	2	31	4	13	0	11115	-1	2
"608"	2	0	1	0	3	1	69	2	14	0	0	-1	2
"609"	2	3	1	0	1	2	47	2	20	0	25740	-1	2
"610"	2	0	2	2	5	1	34	0	16	2	56160	-1	2
"611"	2	1	2	0	1	2	33	4	12	0	0	-1	1
"613"	1	3	0	2	5	2	47	1	12	3	3042	27	2
"614"	1	4	0	2	1	1	57	1	12	2	38610	-1	3
"615"	2	2	0	2	1	2	58	0	18	2	164382.03756	999	1
"616"	2	2	1	0	1	2	55	3	14	0	0	-1	1
"618"	2	2	1	0	3	2	62	0	20	0	46800	-1	2
"619"	2	2	0	1	1	2	26	1	14	3	6435	30	2
"620"	2	0	1	2	1	2	31	1	16	0	25740	-1	2
"621"	2	0	1	2	1	1	44	9	12	4	0	-1	2
"623"	2	4	1	0	1	2	73	1	10	0	0	-1	3
"624"	2	2	0	0	2	2	57	2	12	3	11115	40	2
"625"	2	0	1	0	1	2	57	1	16	0	31590	-1	1
"626"	2	2	0	2	1	2	48	1	16	0	0	-1	2
"627"	3	2	1	0	1	2	58	3	16	0	3510	-1	2
"628"	2	0	1	2	1	2	36	4	16	3	0	-1	2
"630"	3	2	0	2	1	1	55	1	16	4	0	999	3
"632"	3	1	0	2	1	2	54	3	16	2	25740	20	2
"633"	2	0	1	0	1	1	60	2	16	0	164382.03756	-1	2
"634"	2	1	1	0	1	2	52	2	14	0	25740	-1	1
"635"	3	2	1	0	2	2	80	8	14	0	0	-1	1
"636"	2	0	1	2	1	1	58	1	16	0	74880	-1	2
"638"	2	1	1	0	1	2	49	3	17	0	38610	-1	2
"639"	4	3	0	1	1	1	75	2	16	1	6435	16	1
"641"	2	2	0	2	1	2	51	3	18	3	8775	25	2
"642"	2	0	1	2	1	2	57	2	16	0	25740	-1	1
"644"	2	3	2	0	1	2	29	2	16	0	0	-1	3
"645"	1	4	0	2	5	2	44	0	9	0	0	-1	2
"646"	2	0	1	0	5	2	49	0	12	0	0	-1	3
"647"	2	0	1	2	1	2	52	3	19	0	38610	-1	2
"648"	2	1	1	0	1	1	54	2	19	0	164382.03756	-1	1
"649"	2	1	0	1	1	2	48	4	15	0	0	-1	2
"650"	2	0	1	2	1	2	34	1	16	2	46800	-1	2
"651"	1	0	2	0	1	2	44	2	16	1	0	-1	1
"652"	1	1	2	0	5	1	33	0	19	0	3510	-1	2
"653"	2	4	2	0	5	2	31	0	13	0	0	-1	3
"655"	1	0	2	0	3	2	77	3	11	0	0	-1	1
"656"	1	1	2	0	2	2	78	0	13	0	0	-1	2
"657"	1	1	0	0	5	1	47	0	12	2	0	16	2
"658"	1	1	0	0	5	1	58	3	12	0	0	-1	1
"659"	5	0	1	1	1	1	52	3	15	0	7605	-1	2
"662"	1	3	0	1	5	1	23	0	13	0	0	-1	3
"664"	2	2	0	2	1	2	79	1	16	0	0	-1	2
"665"	2	2	1	0	1	2	61	3	12	0	15210	-1	1
"666"	2	4	0	2	1	1	40	2	13	5	31590	40	1
"667"	2	0	2	1	5	2	27	2	12	0	0	-1	2
"669"	1	3	0	0	5	1	27	0	12	2	15210	40	3
"671"	2	3	2	0	1	2	74	4	12	0	0	-1	2
"672"	1	2	1	0	3	2	57	3	12	0	21060	-1	1
"673"	2	3	0	2	5	2	27	1	14	6	7605	21	2
"675"	2	4	2	0	5	2	33	1	11	0	936	-1	2
"676"	2	2	0	2	1	1	39	1	18	3	46800	45	1
"677"	2	0	2	2	5	1	27	0	16	1	11115	-1	2
"678"	1	2	2	0	5	1	34	0	18	0	2574	-1	2
"679"	2	2	0	2	5	1	28	3	15	2	38610	48	2
"680"	1	0	1	2	5	1	50	0	16	3	31590	-1	2
"681"	2	1	0	2	1	1	30	4	14	3	21060	40	1
"682"	3	2	0	2	3	2	68	1	12	0	0	-1	2
"683"	2	0	1	0	1	2	70	2	3	0	0	-1	1
"684"	2	4	1	0	3	1	55	3	10	0	0	-1	3
"685"	2	2	1	0	3	1	59	3	12	0	31590	-1	3
"686"	2	3	0	0	4	2	60	3	13	3	11115	40	3
"687"	2	0	2	0	5	2	19	0	12	0	0	-1	1
"688"	5	1	3	0	5	1	19	0	10	0	0	-1	1
"689"	3	2	0	2	1	2	48	0	14	2	11115	35	3
"690"	3	2	0	0	1	1	27	0	12	3	25740	40	2
"691"	2	3	1	0	1	2	33	3	12	0	0	-1	2
"692"	2	0	1	0	2	1	79	4	9	0	0	-1	2
"693"	3	2	2	0	4	1	56	3	11	0	9945	-1	1
"694"	3	2	1	0	1	1	53	3	9	0	12870	-1	3
"695"	3	3	0	0	5	1	32	5	12	0	3042	4	2
"697"	2	0	1	2	1	1	42	3	7	2	46800	-1	2
"698"	1	0	2	2	5	2	28	0	12	0	7605	-1	3
"699"	3	3	2	0	4	2	22	1	5	0	2106	-1	3
"700"	2	2	0	1	1	1	40	2	13	2	21060	40	2
"701"	2	0	1	2	5	1	44	1	11	2	0	-1	3
"703"	2	1	2	0	1	2	35	0	16	0	0	-1	2
"704"	2	3	1	0	1	2	64	2	12	0	0	-1	2
"705"	1	0	2	2	3	2	40	3	16	0	25740	-1	2
"706"	1	0	2	2	3	2	36	2	19	3	3042	-1	2
"709"	2	3	1	0	4	1	36	3	12	0	25740	-1	1
"710"	4	0	1	0	4	2	44	6	6	0	8775	-1	3
"711"	3	2	0	0	1	1	37	1	12	3	2574	16	2
"712"	4	0	2	0	3	2	50	1	18	3	936	-1	3
"713"	2	2	2	0	1	2	25	0	16	0	9945	-1	1
"714"	1	2	0	0	4	1	44	3	0	2	9945	40	1
"715"	2	0	2	1	1	2	22	1	12	0	0	-1	2
"716"	2	2	2	0	4	2	40	3	6	0	17550	-1	3
"717"	2	2	0	0	1	2	28	3	12	0	0	-1	2
"718"	2	0	2	2	1	2	40	3	12	0	0	-1	2
"719"	2	2	2	0	1	2	59	0	14	0	21060	-1	2
"720"	1	0	2	0	3	2	37	0	12	0	0	-1	2
"721"	2	2	2	0	5	1	26	0	17	0	0	-1	1
"723"	2	1	1	0	5	2	69	0	12	0	7605	-1	1
"724"	3	3	0	0	5	2	53	1	12	2	2574	10	3
"725"	2	1	1	0	3	1	52	6	12	0	0	-1	1
"726"	1	0	2	0	3	1	42	0	14	4	17550	-1	1
"727"	2	2	0	0	1	2	60	5	6	1	936	10	1
"728"	2	1	0	2	3	1	60	2	16	2	65520	40	2
"729"	1	2	1	0	3	2	59	2	16	0	38610	-1	2
"731"	4	0	2	1	5	2	30	0	13	1	234	-1	3
"733"	2	2	0	1	5	2	40	4	14	1	3042	-1	3
"734"	2	0	1	1	1	1	33	1	15	0	2106	-1	2
"737"	2	0	1	2	1	2	52	0	16	0	31590	-1	1
"738"	2	2	0	0	2	2	99	0	20	0	0	-1	2
"739"	2	2	1	0	1	2	77	3	13	0	0	-1	1
"740"	2	2	0	2	1	2	56	0	16	2	15210	40	1
"742"	2	2	2	0	3	2	48	2	13	0	31590	-1	2
"743"	1	4	0	2	3	1	61	1	12	0	0	-1	2
"745"	3	2	2	0	1	2	36	2	6	0	0	-1	1
"746"	1	1	0	2	5	2	28	0	15	3	5265	30	3
"748"	1	3	0	1	5	2	29	0	15	3	11115	40	2
"749"	1	0	2	2	3	1	69	1	18	0	38610	-1	2
"750"	2	0	1	1	5	1	35	0	16	3	12870	-1	2
"751"	2	2	0	0	3	2	38	1	14	2	5265	40	2
"752"	2	0	1	1	5	2	31	1	14	2	21060	-1	2
"755"	3	0	2	2	2	2	31	2	10	0	7605	-1	2
"756"	2	2	3	0	4	2	67	3	11	0	0	-1	1
"757"	3	1	0	2	1	2	48	2	16	2	31590	998	2
"759"	2	2	0	2	5	1	42	6	12	2	21060	65	1
"760"	2	1	1	0	1	2	65	1	14	0	8775	-1	1
"761"	2	0	2	2	3	2	44	3	11	0	0	-1	2
"762"	1	2	1	0	2	2	77	2	13	0	0	-1	3
"763"	4	2	1	0	1	2	62	3	14	0	56160	-1	2
"764"	4	3	0	0	3	1	51	2	8	2	5265	40	2
"765"	5	0	1	2	5	2	21	0	12	0	0	-1	3
"766"	2	1	0	1	3	2	28	1	12	2	17550	40	1
"767"	3	0	1	1	5	2	20	0	13	0	0	-1	1
"768"	3	0	1	1	5	2	19	0	12	0	234	-1	3
"769"	4	3	0	2	1	2	53	3	12	3	0	40	2
"770"	2	3	1	0	1	2	40	2	15	0	12870	-1	2
"772"	2	3	0	0	3	1	65	3	13	0	0	-1	3
"773"	4	2	1	0	3	2	51	2	13	0	8775	-1	2
"774"	3	2	1	0	1	1	60	2	14	0	46800	-1	2
"775"	1	2	0	2	3	1	57	3	12	3	8775	21	2
"776"	2	0	2	2	3	2	70	4	13	0	0	-1	3
"777"	3	2	0	2	1	2	53	3	12	0	0	-1	1
"778"	3	0	2	1	5	2	37	2	16	0	3042	-1	2
"779"	1	3	1	0	5	1	56	1	12	0	15210	-1	1
"780"	2	0	2	0	3	2	59	2	12	0	0	-1	2
"781"	2	1	0	2	5	2	21	0	13	0	0	-1	2
"782"	2	0	1	0	5	1	59	0	11	2	21060	-1	2
"783"	1	0	1	0	2	1	66	3	13	0	0	-1	1
"784"	1	0	2	2	1	1	56	4	17	2	12870	-1	1
"785"	2	0	1	0	1	2	56	3	12	2	15210	-1	2
"786"	2	1	2	0	5	2	24	1	14	0	5265	-1	2
"787"	2	1	0	0	2	2	87	3	12	2	0	-1	1
"788"	2	1	1	0	5	2	22	0	13	0	0	-1	2
"789"	2	2	0	0	3	1	51	5	12	4	12870	70	3
"790"	2	0	1	1	1	2	56	1	12	3	15210	-1	2
"791"	4	3	2	0	1	2	47	4	18	0	0	-1	2
"792"	3	0	2	1	5	1	18	0	11	0	0	-1	3
"793"	4	0	1	1	5	2	26	2	8	0	2574	-1	2
"794"	2	1	0	2	5	2	27	0	14	0	936	-1	3
"795"	4	1	1	0	5	1	20	0	14	0	0	-1	1
"796"	2	0	1	0	3	2	33	3	12	0	15210	-1	2
"797"	2	1	0	1	5	2	31	2	12	1	7605	40	1
"799"	1	3	1	0	5	2	51	0	17	0	0	-1	2
"800"	2	3	1	0	1	2	87	3	16	0	0	-1	2
"801"	1	1	0	1	3	2	54	2	16	2	0	45	2
"803"	2	0	2	1	5	1	25	0	14	0	0	-1	2
"805"	3	2	1	0	1	1	65	2	16	0	0	-1	2
"806"	2	3	1	0	1	1	75	4	12	0	0	-1	1
"807"	2	2	1	0	1	1	46	0	16	0	74880	-1	2
"808"	1	0	1	2	3	1	51	0	12	0	0	-1	2
"809"	3	1	1	0	1	1	53	0	19	0	65520	-1	2
"811"	3	0	1	1	5	2	18	0	12	0	936	-1	2
"813"	1	1	0	1	3	2	56	3	16	1	0	40	1
"814"	2	0	1	2	1	1	34	2	16	0	38610	-1	1
"815"	1	3	0	0	5	2	58	4	16	0	0	-1	2
"816"	1	0	1	0	5	1	59	2	12	3	15210	-1	2
"817"	1	2	1	0	2	2	69	1	16	0	0	-1	2
"818"	1	2	1	0	2	2	67	6	12	0	0	-1	3
"819"	1	4	0	0	5	2	54	0	16	0	0	-1	3
"820"	3	2	1	0	1	1	53	3	14	0	25740	-1	1
"821"	1	3	0	1	4	2	47	2	14	2	6435	70	2
"823"	1	3	0	0	2	2	63	1	5	0	0	-1	3
"824"	1	2	0	1	5	2	32	2	18	2	21060	45	3
"825"	2	0	1	2	1	2	28	0	16	0	25740	-1	2
"826"	2	2	0	2	1	2	23	1	13	0	6435	-1	2
"827"	1	0	1	0	5	2	53	0	16	5	31590	-1	3
"828"	1	9	2	0	4	2	39	1	11	0	2106	-1	3
"829"	1	2	0	1	5	2	38	4	14	3	21060	40	3
"830"	2	3	2	0	1	1	51	2	12	0	17550	-1	2
"832"	2	1	0	2	1	1	54	1	20	3	74880	45	1
"834"	1	2	0	2	2	1	58	0	16	3	164382.03756	50	3
"836"	2	1	1	0	1	2	33	2	18	0	31590	-1	1
"837"	2	1	0	2	2	2	66	3	16	0	0	-1	1
"838"	1	2	0	2	5	1	27	1	12	3	12870	60	2
"839"	1	0	1	0	4	1	54	3	14	2	7605	-1	2
"840"	1	2	1	0	3	1	53	1	12	0	46800	-1	2
"841"	2	2	0	2	1	1	54	0	18	1	9945	40	2
"842"	1	0	2	0	3	2	51	4	12	3	3042	-1	2
"844"	1	0	1	2	3	2	67	0	12	0	3510	-1	2
"845"	1	2	1	0	5	2	65	1	12	0	0	-1	3
"848"	2	3	0	2	5	1	28	1	12	3	0	40	2
"849"	1	0	2	2	5	2	34	0	16	5	21060	-1	2
"850"	1	1	2	0	5	2	27	0	16	0	4212	-1	2
"852"	3	0	1	1	5	1	26	0	16	0	21060	-1	3
"853"	2	2	1	0	2	2	74	5	12	0	0	-1	2
"854"	2	1	0	0	5	2	44	0	12	1	234	15	1
"857"	1	2	2	0	3	2	72	2	12	0	0	-1	2
"859"	1	3	2	0	5	1	35	2	18	0	17550	-1	1
"860"	2	3	0	2	1	1	56	0	13	2	0	40	1
"861"	3	0	2	2	5	2	20	0	13	0	0	-1	2
"862"	2	3	2	0	2	1	75	0	12	0	0	-1	2
"863"	2	2	0	2	1	2	43	2	16	2	65520	50	1
"864"	3	0	1	1	5	2	28	0	16	0	2574	-1	2
"865"	1	2	1	0	3	1	68	4	14	0	0	-1	2
"866"	1	2	0	0	3	2	61	0	16	3	21060	35	2
"867"	1	2	2	0	5	2	46	0	15	0	15210	-1	3
"868"	1	1	0	2	5	1	53	0	18	3	31590	40	2
"869"	1	0	1	9	2	2	79	4	13	0	0	-1	3
"870"	3	2	0	1	1	2	35	0	16	2	17550	45	2
"871"	1	0	1	2	3	2	70	3	18	0	0	-1	2
"872"	1	0	2	2	3	2	59	3	12	0	0	-1	3
"873"	1	0	0	0	5	1	54	9	99	0	0	-1	9
"874"	1	3	0	2	5	1	47	3	9	0	0	-1	2
"876"	1	0	2	0	3	2	65	1	15	0	0	-1	2
"877"	2	3	0	0	1	2	81	2	13	0	0	-1	3
"878"	2	0	2	2	1	1	74	6	19	0	0	-1	2
"879"	2	2	1	0	1	2	77	4	17	0	0	-1	1
"880"	3	0	1	0	5	1	22	0	13	0	12870	-1	2
"881"	3	2	1	0	1	1	54	2	17	0	7605	-1	2
"882"	2	0	1	2	1	2	48	2	16	1	12870	-1	1
"883"	1	2	2	0	5	1	43	0	16	0	46800	-1	2
"884"	2	2	0	1	5	2	27	0	15	5	12870	45	2
"885"	2	3	1	0	1	2	30	0	16	0	164382.03756	-1	1
"886"	4	2	0	2	1	1	52	3	20	2	164382.03756	40	2
"887"	3	2	1	0	1	2	55	1	14	0	3042	-1	2
"888"	2	2	0	2	1	1	40	2	16	3	164382.03756	45	2
"889"	1	0	1	2	2	1	51	3	15	5	17550	-1	3
"890"	2	3	2	0	5	2	21	0	14	0	4212	-1	3
"891"	2	0	2	1	5	1	29	0	12	0	9945	-1	1
"892"	1	0	2	0	2	2	83	7	12	0	0	-1	2
"893"	1	2	2	0	2	2	81	5	15	0	0	-1	2
"896"	1	2	2	0	3	2	78	2	12	0	0	-1	3
"897"	2	0	1	0	3	1	80	2	12	0	0	-1	1
"898"	2	0	1	2	1	2	60	2	14	0	0	-1	2
"899"	2	0	2	2	5	1	24	0	14	2	8775	-1	2
"902"	1	0	2	0	2	2	89	1	8	0	0	-1	2
"903"	2	2	2	0	5	1	23	1	13	0	17550	-1	2
"904"	4	3	0	2	5	2	22	0	13	3	0	32	2
"905"	2	0	1	2	1	1	31	3	13	0	21060	-1	1
"907"	1	2	1	0	2	2	87	3	11	0	0	-1	2
"909"	1	2	0	2	5	1	35	0	12	2	31590	45	2
"910"	1	0	1	0	2	2	76	5	9	0	0	-1	2
"911"	2	4	0	2	2	2	44	5	10	0	0	-1	2
"913"	2	1	1	0	5	2	19	0	13	0	936	-1	1
"914"	1	0	1	2	1	2	39	2	17	0	0	-1	2
"915"	2	0	2	2	1	2	58	3	20	0	0	-1	2
"916"	2	2	0	0	3	2	42	6	12	2	17550	60	2
"917"	2	0	1	0	3	2	71	3	12	0	0	-1	1
"918"	2	2	0	2	1	2	43	5	13	1	0	40	2
"919"	2	2	0	1	5	2	30	1	14	0	15210	-1	1
"920"	2	1	1	0	1	2	51	2	18	0	21060	-1	1
"921"	1	2	0	2	3	2	39	1	12	2	38610	45	3
"922"	2	0	2	1	1	2	27	2	12	0	0	-1	2
"923"	2	2	1	0	1	1	66	4	17	0	0	-1	2
"924"	2	0	1	2	1	1	60	3	16	3	56160	-1	1
"926"	2	2	2	0	1	1	30	1	12	0	15210	-1	2
"929"	2	1	2	0	1	2	35	3	13	0	1638	-1	1
"930"	2	0	1	2	1	1	44	0	20	1	46800	-1	1
"931"	3	2	0	0	1	2	70	7	12	0	0	-1	2
"932"	4	0	3	1	5	2	20	0	11	0	0	-1	1
"933"	1	2	0	2	5	2	33	5	9	0	0	-1	1
"934"	3	3	2	0	1	1	51	4	12	0	25740	-1	1
"935"	2	4	0	0	1	1	62	3	9	0	0	-1	1
"936"	2	3	2	0	1	2	46	3	13	0	0	-1	2
"937"	2	1	0	0	1	1	47	2	12	2	12870	48	3
"938"	2	2	1	0	1	2	56	0	17	0	25740	-1	1
"939"	2	1	2	0	5	2	27	0	18	0	4212	-1	1
"940"	2	1	2	0	1	2	27	0	17	0	12870	-1	2
"941"	1	1	2	0	3	1	40	2	17	0	25740	-1	2
"943"	3	1	0	2	1	2	63	0	16	0	56160	-1	1
"944"	2	0	2	2	1	2	38	5	16	2	21060	-1	1
"945"	1	3	0	0	5	1	35	2	13	2	936	10	2
"946"	2	3	1	0	5	2	79	5	10	0	0	-1	1
"947"	3	3	0	0	5	1	47	8	12	0	0	-1	1
"948"	1	2	0	2	3	1	43	6	14	2	17550	40	1
"949"	1	2	1	0	3	2	44	0	14	0	0	-1	2
"950"	1	0	1	0	5	2	34	7	8	0	0	-1	1
"951"	2	3	0	0	4	2	43	0	13	2	936	37	1
"953"	2	1	0	2	5	2	44	2	16	1	0	52	3
"954"	1	2	1	0	2	2	54	2	14	0	12870	-1	1
"955"	1	2	0	0	2	2	79	3	12	0	0	-1	2
"956"	1	0	2	0	5	1	59	4	12	0	0	-1	2
"957"	1	4	2	0	5	2	28	1	12	0	7605	-1	3
"959"	1	0	2	0	5	2	63	0	12	0	0	-1	2
"961"	1	2	0	0	5	2	24	1	12	0	0	-1	3
"962"	1	2	3	0	5	1	29	1	12	0	12870	-1	2
"963"	4	0	1	0	1	1	46	3	12	1	21060	-1	1
"964"	1	1	1	0	3	2	73	4	12	0	936	-1	2
"965"	2	3	0	0	1	1	57	3	12	0	15210	-1	2
"966"	3	0	2	0	5	2	20	0	12	0	3042	-1	2
"967"	3	2	1	0	1	1	51	2	16	0	0	-1	2
"968"	2	0	1	0	1	1	43	4	15	1	7605	-1	1
"970"	1	3	2	0	4	1	28	1	14	0	2574	-1	2
"971"	1	1	0	0	5	1	25	0	15	0	0	-1	3
"973"	2	3	2	0	4	1	56	3	12	0	0	-1	2
"974"	2	0	1	2	1	1	34	3	19	9	0	-1	3
"975"	2	1	3	0	5	1	27	0	13	0	1638	-1	3
"976"	1	2	0	2	3	2	59	1	14	1	25740	48	2
"977"	2	0	1	2	1	2	25	2	12	0	0	-1	2
"978"	1	2	2	0	3	1	56	3	16	0	2106	-1	1
"979"	2	2	1	0	1	2	61	2	12	0	0	-1	1
"980"	4	2	1	0	1	2	56	2	12	0	12870	-1	1
"981"	2	0	1	0	4	2	46	1	14	2	7605	-1	1
"982"	4	1	0	1	1	2	35	2	19	1	0	40	1
"986"	3	1	0	2	5	1	25	0	13	0	11115	-1	2
"987"	3	2	0	1	3	2	59	3	16	2	6435	40	3
"988"	2	3	0	2	1	1	73	1	14	0	0	-1	1
"989"	3	1	1	0	4	1	60	2	12	0	21060	-1	1
"990"	2	0	2	0	1	1	66	2	12	0	0	-1	2
"991"	4	3	0	0	1	1	84	8	6	0	0	-1	1
"992"	2	2	2	0	4	2	57	3	11	0	5265	-1	2
"993"	2	0	1	0	2	1	68	3	12	0	0	-1	2
"994"	3	3	1	0	5	2	35	0	12	0	17550	-1	2
"995"	2	2	0	1	1	2	28	0	16	0	0	-1	2
"996"	2	0	1	1	1	2	35	1	17	0	0	-1	2
"997"	1	1	1	0	5	2	42	0	17	0	65520	-1	1
"999"	2	3	0	0	1	1	69	5	8	2	25740	40	1
"1000"	1	2	2	0	3	1	68	3	12	0	0	-1	2
"1001"	2	2	0	1	5	1	44	0	14	2	17550	40	1
"1002"	2	2	1	0	1	1	67	2	16	0	0	-1	2
"1004"	2	2	1	0	1	2	45	3	20	0	31590	-1	2
"1005"	1	0	1	2	3	1	62	0	16	0	0	-1	3
"1006"	1	2	1	0	2	2	68	2	18	0	0	-1	2
"1007"	2	2	0	2	1	2	34	1	17	2	25740	36	1
"1008"	1	0	1	2	3	2	32	1	19	5	25740	-1	2
"1009"	2	1	2	0	5	2	24	0	11	0	15210	-1	1
"1010"	1	0	2	2	1	2	31	2	20	0	21060	-1	2
"1011"	1	1	1	0	5	2	32	1	16	0	21060	-1	1
"1012"	2	3	0	1	5	1	22	0	12	3	8775	35	2
"1014"	2	0	1	0	1	2	34	0	16	0	7605	-1	2
"1015"	2	3	0	2	1	2	35	2	12	0	234	-1	3
"1016"	1	0	2	2	2	2	60	3	15	1	21060	-1	1
"1017"	1	1	2	0	5	2	64	0	12	0	31590	-1	2
"1019"	2	0	2	2	5	1	30	1	10	0	9945	-1	3
"1020"	1	2	0	2	1	1	63	4	18	3	31590	55	2
"1021"	2	0	1	2	1	1	46	2	17	2	0	-1	2
"1023"	2	3	2	0	1	1	32	1	14	0	936	-1	2
"1025"	2	0	2	2	1	2	57	2	19	2	38610	-1	1
"1026"	2	3	2	0	5	1	40	0	18	0	31590	-1	3
"1028"	2	2	1	0	1	2	64	2	16	0	15210	-1	2
"1029"	3	0	2	1	5	2	50	0	16	7	0	-1	3
"1030"	2	1	0	2	1	1	41	1	20	2	46800	45	1
"1031"	2	0	1	2	3	1	58	2	20	0	4212	-1	1
"1032"	2	0	1	2	1	2	71	4	13	0	0	-1	2
"1033"	2	0	1	1	1	2	58	2	18	0	56160	-1	2
"1034"	3	2	1	0	1	1	55	5	16	0	38610	-1	2
"1035"	3	2	0	0	1	2	65	2	17	2	31590	38	1
"1036"	2	0	1	1	1	1	27	2	17	0	74880	-1	1
"1037"	1	2	0	1	3	1	43	2	19	5	6435	25	2
"1038"	3	0	2	2	5	2	29	0	16	2	7605	-1	1
"1040"	2	3	1	0	1	2	67	3	20	0	0	-1	2
"1041"	4	0	1	2	5	1	21	0	13	3	0	-1	2
"1042"	1	1	1	0	3	1	69	2	12	0	15210	-1	3
"1043"	2	0	1	2	1	2	62	0	16	0	0	-1	1
"1045"	2	2	1	0	1	2	43	1	16	0	38610	-1	1
"1048"	2	0	1	2	1	1	40	2	19	2	46800	-1	2
"1050"	2	2	0	1	1	2	25	0	16	2	21060	50	1
"1051"	2	1	0	0	1	2	77	2	12	0	0	-1	2
"1053"	1	0	1	0	3	1	70	1	15	0	9945	-1	3
"1054"	1	1	0	2	2	2	70	0	13	0	0	-1	3
"1056"	1	1	0	0	5	1	59	1	16	2	9945	40	2
"1057"	2	0	1	2	1	2	61	3	16	6	21060	-1	2
"1058"	2	2	1	0	1	1	68	0	14	0	0	-1	2
"1059"	1	2	0	1	5	1	29	0	12	3	21060	40	2
"1063"	2	3	0	0	1	1	47	8	12	0	0	-1	3
"1064"	2	2	0	2	1	1	35	1	14	3	9945	-1	2
"1065"	1	0	2	0	5	1	54	0	12	1	21060	-1	2
"1066"	1	3	2	0	5	1	54	2	9	0	0	-1	3
"1069"	1	3	2	0	3	2	61	1	14	0	15210	-1	2
"1070"	2	2	0	2	5	1	26	0	13	2	17550	40	2
"1071"	2	2	1	0	1	2	60	0	12	0	21060	-1	1
"1072"	1	0	2	0	3	2	60	2	9	0	0	-1	2
"1073"	2	1	2	0	5	1	25	0	16	0	5265	-1	2
"1074"	2	1	0	0	1	1	56	4	16	2	25740	50	2
"1075"	1	3	0	0	1	1	57	3	12	0	0	-1	3
"1076"	2	0	2	0	1	1	49	3	11	0	0	-1	1
